Basin Name,Watershed (USGS 4th Field Name),USGS 4th Field HUC,Record ID,Water Body (Stream/Lake),LLID,River Miles,Segment Length,Parameter,Season,Criteria,BeneficialUses,Status,AssessmentYear,Assessment Action,Suporting Data,Previous Status,Previous Action,Listing Year,Comments,Beach Name,EPA Beach ID,TMDLInfo,
Deschutes,Beaver-South Fork,17070303,9061,Wolf Creek,1.20E+12,0 to 17.1,17.1,Temperature,Summer,Rearing: 17.8 C,Salmonid fish rearing; Anadromous fish passage,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2002,No action,"Previous Data:  LASAR 13237 RM 10.0: In 1998, 73 days with 7 DMA > 17.8 C.",Previous Status: 303(d),Previous Action: Added to database,Previous Assessment Year: 2002,,,,,
Deschutes,Little Deschutes,17070302,12800,Big Marsh Creek,1.22E+12,0 to 15.6,15.6,Temperature,Year Round (Non-spawning),Bull trout spawning and juvenile rearing: 12.0 degrees Celsius 7-day-average maximum,Bull trout spawning and juvenile rearing,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Deschutes] LASAR 29400 River Mile 6.5: From 5/12/2001 to 9/29/2002, 232 days with 7-day-average maximum > 12 degrees Celsius.
[NF - Deschutes] LASAR 30958 River Mile 7.1: From 6/2/2002 to 9/29/2002, 23 days with 7-day-average maximum > 12 degrees Celsius.
[NF - Deschutes] LASAR 30994 River Mile 4: From 6/2/2002 to 9/29/2002, 109 days with 7-day-average maximum > 12 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Little Deschutes,17070302,12784,Crescent Creek,1.22E+12,0 to 11,11,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Deschutes] LASAR 12565 River Mile 2.3: From 5/13/2001 to 9/27/2001, 81 days with 7-day-average maximum > 18 degrees Celsius.
[NF - Deschutes] LASAR 31012 River Mile 2.6: From 6/1/2002 to 10/3/2002, 92 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Little Deschutes,17070302,12785,Crescent Creek,1.22E+12,11 to 30.1,19.1,Temperature,Year Round (Non-spawning),Bull trout spawning and juvenile rearing: 12.0 degrees Celsius 7-day-average maximum,Bull trout spawning and juvenile rearing,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ/NF - Deschutes] LASAR 25567 River Mile 20.8: From 5/11/2001 to 9/30/2002, 193 days with 7-day-average maximum > 12 degrees Celsius.
[DEQ] LASAR 25829 River Mile 25.8: From 4/20/2001 to 10/5/2001, 135 days with 7-day-average maximum > 12 degrees Celsius.
[NF - Deschutes] LASAR 25835 River Mile 20.3: From 6/3/2002 to 9/26/2002, 114 days with 7-day-average maximum > 12 degrees Celsius.
[NF - Deschutes] LASAR 29403 River Mile 20.4: From 5/12/2001 to 9/27/2001, 124 days with 7-day-average maximum > 12 degrees Celsius.
[NF - Deschutes] LASAR 30992 River Mile 25.4: From 6/2/2002 to 10/3/2002, 124 days with 7-day-average maximum > 12 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Little Deschutes,17070302,618,East Lake/East Lake,1212241437275/1212089437288,0 to 1.4,1.4,Mercury,Year Round,"...Where no published EPA criteria exist for a toxic substance, public health advisories and other published scientific literature may be considered and used, if appropriate, to set guidance values.",Fishing,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,"OSHD Fish Consumption Advisory: Average level of mercury was 0.64 ppm with large Brown Trout having levels approaching 3 ppm which exceeded national screening standard (0.6 ppm).  Source of mercury is natural (OSHD, 1994).","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - Added to 303(d) list,Previous Assessment Year: 2010,OR DHS revised fish consumption advisory issued 7/9/1996 due to elevated levels of mercury in fish caught in East Lake. Mercury levels higher than found in 1994.,,,,
Deschutes,Little Deschutes,17070302,24983,East Lake/East Lake,1212241437275/1212089437288,0 to 1.4,1.4,Mercury,Year Round,Table 40 Human Health Criteria for Toxic Pollutants,Human health,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2012,Added to database,"2012 Data: 
[ODEQ] STATION 13767 at RM 0 from 7/11/2011 to 7/11/2011, the geometric mean of 0.374 mg/Kg from 29 valid individual fish tissue samples exceeds the 0.040 mg/kg criteria ",,,,,,,,
Deschutes,Little Deschutes,17070302,12795,Hemlock Creek,1.22E+12,0 to 5.9,5.9,Temperature,Year Round (Non-spawning),Bull trout spawning and juvenile rearing: 12.0 degrees Celsius 7-day-average maximum,Bull trout spawning and juvenile rearing,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 25566 River Mile 0.3: From 5/11/2001 to 9/27/2001, 102 days with 7-day-average maximum > 12 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Little Deschutes,17070302,11556,Little Deschutes River,1.21E+12,0 to 68.8,68.8,Dissolved Oxygen,January 1 - May 15,Spawning: Not less than 11.0 mg/L or 95% of saturation,Resident trout spawning,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ/ODA - Salem] LASAR 10696 River Mile 4.1: From 1/9/1996 to 3/19/2003, 13 out of 22 samples (59%) < 11 mg/l and applicable % saturation.
[DEQ/ODA - Salem] LASAR 10697 River Mile 25.7: From 1/23/1996 to 5/1/2002, 3 out of 4 samples (75%) < 11 mg/l and applicable % saturation.
[DEQ/ODA - Salem] LASAR 12567 River Mile 13.5: From 1/23/1996 to 5/1/2002, 3 out of 4 samples (75%) < 11 mg/l and applicable % saturation.
[DEQ/ODA - Salem] LASAR 10703 River Mile 61.1: From 1/24/1996 to 5/1/2002, 2 out of 3 samples (67%) < 11 mg/l and applicable % saturation.
[DEQ/ODA - Salem] LASAR 10699 River Mile 43.2: From 1/23/1996 to 5/1/2002, 2 out of 3 samples (67%) < 11 mg/l and applicable % saturation.
[DEQ/ODA - Salem] LASAR 10698 River Mile 34.3: From 1/23/1996 to 5/1/2002, 2 out of 4 samples (50%) < 11 mg/l and applicable % saturation.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Little Deschutes,17070302,24468,Little Deschutes River,1.21E+12,0 to 73.6,73.6,Dissolved Oxygen,Year Round (Non-spawning),Cold water: Not less than 8.0 mg/l or 90% of saturation,,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,"2010 Data:
EPA addition to 303(d) list 12/14/2012:  Nine exceedences of the cold water aquatic life criteria  out of 42 days of sampling between 7/27/99 and 11/2/10 at LASAR station 10696, .","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,,,,,
Deschutes,Little Deschutes,17070302,12767,Little Deschutes River,1.21E+12,0 to 68.8,68.8,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 10697 River Mile 25.7: From 4/21/2001 to 10/29/2001, 113 days with 7-day-average maximum > 18 degrees Celsius.
[NF - Deschutes] LASAR 30965 River Mile 43.2: From 6/1/2002 to 10/3/2002, 85 days with 7-day-average maximum > 18 degrees Celsius.
[DEQ] LASAR 26679 River Mile 60.7: From 7/16/2001 to 10/29/2001, 55 days with 7-day-average maximum > 18 degrees Celsius.
[DEQ] LASAR 26662 River Mile 63.6: From 5/1/2001 to 8/3/2001, 45 days with 7-day-average maximum > 18 degrees Celsius.
[DEQ] LASAR 26660 River Mile 0.1: From 5/20/2001 to 11/5/2001, 114 days with 7-day-average maximum > 18 degrees Celsius.
[DEQ] LASAR 25167 River Mile 0.6: From 4/21/2001 to 11/3/2001, 117 days with 7-day-average maximum > 18 degrees Celsius.
[NF - Deschutes] LASAR 10699 River Mile 43.2: From 5/13/2001 to 9/27/2001, 83 days with 7-day-average maximum > 18 degrees Celsius.
[DEQ] LASAR 10701 River Mile 59.6: From 7/16/2001 to 10/29/2001, 56 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Little Deschutes,17070302,12768,Little Deschutes River,1.21E+12,68.8 to 92.4,23.6,Temperature,Year Round (Non-spawning),Bull trout spawning and juvenile rearing: 12.0 degrees Celsius 7-day-average maximum,Bull trout spawning and juvenile rearing,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 25565 River Mile 78.4: From 5/11/2001 to 10/5/2001, 89 days with 7-day-average maximum > 12 degrees Celsius.
[WSC Deschutes, Upper] LASAR 31166 River Mile 83.3: From 6/8/2002 to 9/29/2002, 21 days with 7-day-average maximum > 12 degrees Celsius.
[DEQ] LASAR 26661 River Mile 86.5: From 7/14/2001 to 10/5/2001, 0 days with 7-day-average maximum > 12 degrees Celsius.
[DEQ] LASAR 25563 River Mile 74.1: From 5/11/2001 to 10/5/2001, 120 days with 7-day-average maximum > 12 degrees Celsius.
[NF - Deschutes] LASAR 29415 River Mile 76.1: From 5/12/2001 to 9/27/2001, 107 days with 7-day-average maximum > 12 degrees Celsius.
[DEQ] LASAR 25564 River Mile 83: From 5/11/2001 to 10/5/2001, 58 days with 7-day-average maximum > 12 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Little Deschutes,17070302,23661,Paulina Creek,1.21E+12,0 to 15,15,Biological Criteria,Year Round,Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,"2010 Data:
EPA addition to 303(d) list 12/14/2012:  LASAR 35877 River Mile 5.19 FROM 6/24/2002 To 6/24/2002 1 out of 1 (100%) samples outside WCCP regional criteria.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - EPA addition to 303(d) list,Previous Assessment Year: 2010,,,,,
Deschutes,Little Deschutes,17070302,12770,Paulina Creek,1.21E+12,0 to 15,15,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [DEQ] LASAR 25568 River Mile 13.1: From 5/10/2001 to 3/14/2002, 81 days with 7-day-average maximum > 18 degrees Celsius.
[NF - Deschutes] LASAR 29422 River Mile 8: From 4/28/2001 to 10/12/2001, 41 days with 7-day-average maximum > 18 degrees Celsius.
[NF - Deschutes] LASAR 29423 River Mile 5: From 4/28/2001 to 10/12/2001, 31 days with 7-day-average maximum > 18 degrees Celsius.
[WSC Deschutes, Upper] LASAR 31162 River Mile 13.1: From 6/8/2002 to 10/7/2002, 67 days with 7-day-average maximum > 18 degrees Celsius.
[WSC Deschutes, Upper] LASAR 31163 River Mile 5: From 6/8/2002 to 10/7/2002, 35 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Little Deschutes,17070302,23207,Paulina Creek/Paulina Lake,1214804437619/1212599437205,13.3 to 15,1.6,Aquatic Weeds Or Algae,Undefined,"The development of fungi or other growths having a deleterious effect on stream bottoms, fish or other aquatic life, or which are injurious to health, recreation or industry may not be allowed.",Aesthetics; Livestock watering; Fishing; Water supply; Water contact recreation; Drinking water,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: New Cat 5: 303(d) listing,Previous Assessment Year: 2010,2 health advisories issued by Oregon Harmful Algae Bloom Surveillance (HABS) program through October 2010 based on cell counts or toxicity levels.,,,,
Deschutes,Lower Crooked,17070305,12703,Canyon Creek,1.20E+12,0 to 5.5,5.5,Temperature,Year Round (Non-spawning),Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2004,No action,"Previous Data:  [NF - Ochoco] LASAR 31118 River Mile 0.1: From 6/24/2002 to 9/28/2002, 19 days with 7-day-average maximum > 18 degrees Celsius.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004,,,,,
Deschutes,Lower Crooked,17070305,24465,Crooked River,1.21E+12,0 to 51,51,E. Coli,Summer,30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,Water contact recreation,"Cat 5: Water quality limited, 303(d) list, TMDL needed",2010,No action,"2010 Data:
EPA addition to 303(d) list 12/14/2012:  Four exceedences of the 406 maximum criteria out of 26 days of sampling at LASAR station 10517, Crooked River at Lone Pine Road (Terrebonne), between 7/25/02 and 9/20/10.","Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010,,,,,
